run	n_seqs	aln_len	mean_conservation	mean_entropy	mean_gap
run_2026-02-05_133817	100	243	64.34156378600824	0.919038045408511	0.411522633744856
run_2026-02-05_183126	100	252	45.43650793650794	2.033884890920299	4.626984126984127
run_2026-02-05_211807	100	250	90.888	0.274453137488342	0.0
run_2026-02-06_100650	100	255	60.305882352941175	1.3954174470484904	2.4745098039215687
run_2026-02-06_120440	100	256	57.12890625	1.4107691802062992	4.3046875
run_2026-02-07_185027	100	244	70.29098360655738	0.9439722776101094	0.9467213114754098
run_2026-02-07_204826	100	250	51.14	1.7277832771619683	3.42
run_2026-02-08_110811	100	245	62.46530612244898	1.2688131136330087	0.6040816326530613
run_2026-02-08_110950	100	242	79.65702479338843	0.7061358444726349	0.8760330578512396
run_2026-02-08_123140	100	245	48.310204081632655	1.8986794004562217	3.036734693877551
run_2026-02-08_134157	100	241	71.04564315352697	0.7717913646326245	1.0248962655601659
run_2026-02-08_153445	100	252	50.31349206349206	1.7736323824002511	3.9285714285714284
run_2026-02-08_162534	100	237	56.675105485232066	1.6061953997405105	0.24472573839662448
